,o,h,l,c,v,prediction_close,batch_open,trade,ror,cr,mdd,ma5,ma10,ma20,ma50,ma100,rate,noise,noise_ma,up,down,au,ad,rsi,rsi_shift_1
2016-07-29,0.007313740688091753,0.006463997059916414,0.007573648665004477,0.0073449856818552746,0.001093310872390154,0.005969407968223095,0.007313740688091753,0,1,1.3067023979650316,6.1128168913656165,0.007318578524842662,0.007367001412321851,0.007380119963511432,0.007466702401362666,0.006064425739131673,0.2,1.0240463340144026,1.4536559185451319,5.326646586643197e-05,0,3.1995913340779934e-05,4.043206670920038e-05,44.17617793386001,44.87790781678952
2016-07-30,0.007314334287693092,0.006464287811853258,0.007561394059693544,0.0073055180497648255,0.0005975684950660255,0.006303288042545319,0.007314334287693092,0,1,1.3067023979650316,6.1128168913656165,0.007304450854330806,0.007337440152175192,0.007385388159973312,0.007490096161651417,0.006096018593913912,0.4,1.0281574972011507,1.448486558622959,0,3.9467632090449054e-05,3.1995913340779934e-05,4.008232668262013e-05,44.39053080429339,44.17617793386001
2016-07-31,0.0073015718962643125,0.006423727916663517,0.007074538258575196,0.006795703072837069,0.0037173618747241384,0.006434645038098097,0.0073015718962643125,0,1,1.3067023979650316,6.1128168913656165,0.007301542216284247,0.007318163005121725,0.007389283657357094,0.007513095178205277,0.006126146741679848,0.4,1.0080359064040179,1.420106557294362,0,0.0005098149769277565,1.4795062942606224e-05,7.649768217745988e-05,16.206175992569946,44.39053080429339
2016-08-01,0.006833815410409569,0.006064503898692721,0.006832320689404758,0.0066117186224906145,0.00426416326547177,0.005962467286735773,0.006833815410409569,0,1,1.3067023979650316,6.1128168913656165,0.007216301313532037,0.007257690045735364,0.007369383230722222,0.007516805175713642,0.006152167180204521,0.2,1.7772914629048446,1.4396649846240692,0,0.00018398445034645446,1.4795062942606224e-05,8.458409551930009e-05,14.887490668657069,16.206175992569946
2016-08-02,0.006601421166485544,0.0058178008802805626,0.0047336060613395944,0.005237325103491254,0.014494926330239452,0.005723593756556511,0.006601421166485544,0,1,1.3067023979650316,6.1128168913656165,0.007072976689788854,0.007196786726638034,0.007327326698967389,0.007498436236050222,0.006175157292764362,0.2,1.2892577578740787,1.430141230638141,0,0.0013743935189993606,1.437113563766058e-05,0.00018275506116211156,7.290322580645045,14.887490668657069
2016-08-03,0.005609961432349901,0.005226266064771391,0.005576601873592988,0.005988842233333828,0.010857462081608026,0.006605479400604963,0.005609961432349901,0,1,1.3067023979650316,6.1128168913656165,0.006732220838640483,0.007025399681741573,0.007244066934884647,0.007449826364696612,0.006187029284791133,0.0,-0.25816440660703965,1.3283260880024368,0.0007515171298425743,0,6.80509306264159e-05,0.00017550590424753924,27.9404725642922,7.290322580645045
2016-08-04,0.005965527593551668,0.005395338316046193,0.006045605286727505,0.006135584669940798,0.006225867497498426,0.005995012819766998,0.005965527593551668,0,1,1.3067023979650316,6.1128168913656165,0.0064624594998122,0.0068834551770715026,0.007172604962878505,0.007413836420867459,0.0062021215546551635,0.0,2.081480558521441,1.347501348036039,0.00014674243660696938,0,7.853253324119942e-05,0.00017257020766078997,31.275060144346373,27.9404725642922
2016-08-05,0.006175513452525164,0.0053114563822666905,0.006196896710319285,0.006152202620294671,0.0034949768822412648,0.006474601570516825,0.006175513452525164,0,1,1.3067023979650316,6.1128168913656165,0.00623724781106437,0.0067693950136743074,0.007108451685963847,0.0073791523961612504,0.006218556843617223,0.0,1.2615190762485489,1.3493160933399253,1.6617950353873742e-05,0,7.971952969504754e-05,0.0001605942612960727,33.17309812568902,31.275060144346373
2016-08-06,0.006098939103952497,0.005512075218689069,0.006205369030040424,0.0063323293321661195,0.004486385399993941,0.006787159945815802,0.006098939103952497,0,1,1.3067023979650316,6.1128168913656165,0.0060902725497729545,0.006653286931652495,0.007042064990549152,0.007321457482909154,0.006237491186900918,0.2,1.026326840415263,1.3473987248846042,0.00018012671187144814,0,9.168487787714138e-05,0.0001605942612960727,36.342631490505774,33.17309812568902
2016-08-07,0.006343650539604298,0.005611221629152883,0.006501295054585944,0.006389008412837367,0.002217099929774684,0.0059487903490662575,0.006343650539604298,0,1,1.3067023979650316,6.1128168913656165,0.0060387184243967055,0.00655584755709278,0.006975233095433453,0.007275296209911064,0.006258197424994608,0.4,1.3366399785354943,1.1389571106713208,5.667908067124791e-05,0,8.968182136127283e-05,0.0001605942612960727,35.83315689180605,36.342631490505774
2016-08-08,0.006388170509704685,0.005541150412373471,0.006523383602430346,0.006342418802023829,0.002422241749778206,0.006776212248951197,0.006388170509704685,0,1,1.3067023979650316,6.1128168913656165,0.006194360239867662,0.006463290539254073,0.00691514597578796,0.007227511442003315,0.006278370907446098,0.4,1.050959730435312,1.1236521953049876,0,4.6589610813538296e-05,8.968182136127283e-05,0.000158474624771344,36.139226991244925,35.83315689180605
2016-08-09,0.006378969715883939,0.005509894579162739,0.006460597661639755,0.006254432689882339,0.002393056795274772,0.006088267546147108,0.006378969715883939,0,1,1.3067023979650316,6.1128168913656165,0.006277048664334118,0.006369754082073157,0.006853597117124176,0.007177865739345368,0.00629965442115209,0.6,1.0465792990445546,1.1166055960061205,0,8.79861121414905e-05,8.968182136127283e-05,0.00016248073780308146,35.56508216702389,36.139226991244925
2016-08-10,0.00624333220697809,0.0056719887839532844,0.006469372564208079,0.006375654702731577,0.003950920660911714,0.006600380875170231,0.00624333220697809,0,1,1.3067023979650316,6.1128168913656165,0.006290612415224703,0.0062639301131445346,0.006791046559133131,0.00713563409570814,0.006318904856223498,0.0,1.130994734816513,1.1202960132449633,0.00012122201284923799,0,9.47265562901274e-05,0.00016248073780308146,36.828876344307574,35.56508216702389
2016-08-11,0.006358342129737425,0.005596102528436992,0.0065483466873229885,0.006314376010801668,0.0019198392483735685,0.00630491878837347,0.006358342129737425,0,1,1.3067023979650316,6.1128168913656165,0.006342493020381687,0.006216382785077321,0.006737036415406343,0.007113403790638013,0.006340630601632488,0.6,1.1659459261079375,1.125014424482066,0,6.127869192990888e-05,9.47265562901274e-05,0.00016453678523206845,36.53681069370069,36.828876344307574
2016-08-12,0.006281025781663084,0.005500299765246886,0.0064763319696933015,0.006291081205394899,0.0016190735083693197,0.005900972988456488,0.006281025781663084,0,1,1.3067023979650316,6.1128168913656165,0.006329968068793446,0.006184343246595075,0.006690564986616555,0.007108189018140254,0.00636052657627035,0.2,1.0461710837113498,1.11093791227232,0,2.3294805406769148e-05,9.09218087282394e-05,0.00016620069990398053,35.36127941964472,36.53681069370069
2016-08-13,0.006282361380766096,0.005482709273067823,0.006495092106218682,0.006233363502826535,0.0007212579768102352,0.00616145646199584,0.006282361380766096,0,1,1.3067023979650316,6.1128168913656165,0.006308806243005727,0.006251583241436695,0.006638491461589133,0.007097133225565325,0.006381002794518522,0.2,1.010302354115581,1.1101863256099418,0,5.7717702568363394e-05,9.09218087282394e-05,0.0001675042763666887,35.182906824147004,35.36127941964472
2016-08-14,0.006255352598905193,0.005394611436204081,0.00610975285033042,0.006015846402658872,0.0035469467116327827,0.005865038372576237,0.006255352598905193,0,1,1.3067023979650316,6.1128168913656165,0.006284082819609978,0.006280565741972046,0.006582010459521774,0.007074208408961632,0.006401039749061703,0.0,1.0483985927760202,1.1075546298019634,0,0.00021751710016766276,9.09218087282394e-05,0.00014662585659811059,38.275185152137084,35.182906824147004
2016-08-15,0.006036314346011285,0.0052458918205083626,0.006089479799569121,0.0059912162262415235,0.0033146141508521424,0.00558894220739603,0.006036314346011285,0,1,1.3067023979650316,6.1128168913656165,0.006242679247416617,0.006266645831320659,0.006518020422497483,0.0070474845549093725,0.006417331090120438,0.0,1.3349077150127235,1.1164618099223518,0,2.4630176417348923e-05,9.09218087282394e-05,0.00013524340846031733,40.20149953139645,38.275185152137084
2016-08-16,0.0059686439914586956,0.005334716537214211,0.006212025852678462,0.006165407955843731,0.0035444671480370942,0.005668518599122763,0.0059686439914586956,0,1,1.3067023979650316,6.1128168913656165,0.006164739619760871,0.00625361632007128,0.006453451625861887,0.0070279076400572285,0.006432947211632651,0.0,1.0534599223005405,1.1169237633050884,0.0001741917296022074,0,0.00010336407512839707,3.707244281750585e-05,73.60199230246765,40.20149953139645
2016-08-17,0.0061281738843184195,0.005306513599340343,0.006257715862603179,0.006060655518791637,0.0030326761532182343,0.006269018165767193,0.0061281738843184195,0,1,1.3067023979650316,6.1128168913656165,0.006134169240291938,0.006232068654542691,0.0063939581058177365,0.007003409784509989,0.006450339679951871,0.0,1.2242813116929403,1.115242785628836,0,0.00010475243705209379,4.968428013964176e-05,4.4554759749798264e-05,52.72154745838953,73.60199230246765
2016-08-18,0.006068220324583229,0.0052775837816243605,0.006299623586938101,0.006049379052480081,0.0029329546036627476,0.0066634295508265495,0.006068220324583229,0,1,1.3067023979650316,6.1128168913656165,0.006091341029055364,0.006200073636030546,0.00633168208764231,0.0069816187431448505,0.006466577597046485,0.0,1.070982172563347,1.114392875874793,0,1.1276466311556377e-05,3.9202677524858227e-05,4.5360221629195146e-05,46.359192881313504,52.72154745838953
