Timestamp,hash-rate
2020-01-21 00:00:00,112384193.794878
2020-01-22 00:00:00,114587805.437915
2020-01-23 00:00:00,116791417.080951
2020-01-24 00:00:00,111649656.580532
2020-01-25 00:00:00,120464103.152679
2020-01-26 00:00:00,105038821.651422
2020-01-27 00:00:00,94755300.6505832
2020-01-28 00:00:00,107321517.0167
2020-01-29 00:00:00,123011831.712795
2020-01-30 00:00:00,119936535.919975
2020-01-31 00:00:00,110710648.541515
2020-02-01 00:00:00,116092416.17895
2020-02-02 00:00:00,109941824.59331
2020-02-03 00:00:00,113785944.334335
2020-02-04 00:00:00,101484761.163056
2020-02-05 00:00:00,122243007.76459
2020-02-06 00:00:00,103791233.007671
2020-02-07 00:00:00,106866528.80049
2020-02-08 00:00:00,106866528.80049
2020-02-09 00:00:00,117630064.07536
2020-02-10 00:00:00,93796521.681006
2020-02-11 00:00:00,114190850.876276
2020-02-12 00:00:00,109742275.18922
2020-02-13 00:00:00,108969442.265353
2020-02-14 00:00:00,104332444.722146
2020-02-15 00:00:00,109742275.18922
2020-02-16 00:00:00,109742275.18922
2020-02-17 00:00:00,121334769.047237
2020-02-18 00:00:00,115924938.580162
2020-02-19 00:00:00,108969442.265353
2020-02-20 00:00:00,97376948.4073364
2020-02-21 00:00:00,119016270.275633
2020-02-22 00:00:00,114379272.732427
2020-02-23 00:00:00,109742275.18922
2020-02-24 00:00:00,108969442.265353
2020-02-25 00:00:00,111020255.745151
2020-02-26 00:00:00,104700775.427287
2020-02-27 00:00:00,113169220.498612
2020-02-28 00:00:00,121637665.569937
2020-02-29 00:00:00,107010351.35583
2020-03-01 00:00:00,136264979.784043
2020-03-02 00:00:00,114708937.784307
2020-03-03 00:00:00,117788372.355698
2020-03-04 00:00:00,128566393.355566
2020-03-05 00:00:00,125486958.784175
2020-03-06 00:00:00,119328089.641393
2020-03-07 00:00:00,120867806.927089
2020-03-08 00:00:00,121637665.569937
2020-03-09 00:00:00,119877105.097528
2020-03-10 00:00:00,108616241.391911
2020-03-11 00:00:00,97919187.3154346
2020-03-12 00:00:00,124250397.349837
2020-03-13 00:00:00,102856289.196885
2020-03-14 00:00:00,105324840.13761
2020-03-15 00:00:00,97919187.3154346
2020-03-16 00:00:00,97919187.3154346
2020-03-17 00:00:00,101210588.569735
2020-03-18 00:00:00,82285031.3575081
2020-03-19 00:00:00,88044983.5525337
2020-03-20 00:00:00,89690684.1796838
2020-03-21 00:00:00,102033438.88331
2020-03-22 00:00:00,104501989.824035
2020-03-23 00:00:00,92159235.1204091
2020-03-24 00:00:00,108616241.391911
2020-03-25 00:00:00,75702228.8489074
2020-03-26 00:00:00,112492821.358516
2020-03-27 00:00:00,107197274.863781
2020-03-28 00:00:00,93365368.4297446
2020-03-29 00:00:00,104430893.576974
2020-03-30 00:00:00,101664512.290166
2020-03-31 00:00:00,109963656.150588
2020-04-01 00:00:00,105814084.220377
2020-04-02 00:00:00,105814084.220377
2020-04-03 00:00:00,91290582.4646392
2020-04-04 00:00:00,108580465.507185
2020-04-05 00:00:00,121029181.297817
2020-04-06 00:00:00,88524201.1778319
2020-04-07 00:00:00,116188014.045904
2020-04-08 00:00:00,103061194.836332
2020-04-09 00:00:00,112650577.826398
2020-04-10 00:00:00,119234053.153915
2020-04-11 00:00:00,116308064.119463
2020-04-12 00:00:00,111919080.567785
2020-04-13 00:00:00,125086031.222819
2020-04-14 00:00:00,122891539.44698
2020-04-15 00:00:00,123623036.705593
2020-04-16 00:00:00,112650577.826398
2020-04-17 00:00:00,92900151.843848
2020-04-18 00:00:00,115576566.86085
2020-04-19 00:00:00,111187583.309172
2020-04-20 00:00:00,117771058.636689
2020-04-21 00:00:00,115730561.554044
2020-04-22 00:00:00,103923467.233466
2020-04-23 00:00:00,112649865.245436
2020-04-24 00:00:00,114236483.065795
2020-04-25 00:00:00,107890011.784362
2020-04-26 00:00:00,108683320.694541
2020-04-27 00:00:00,111856556.335257
2020-04-28 00:00:00,122169572.167586
2020-04-29 00:00:00,115029791.975974
