,Open,High,Low,Close,Volume,Datetime,prediction_close,batch_open,trade,return_of_rate,cumulative_return_of_rate,mdd,rate,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2019-12-30,7372.79,7384.9,7199.0,7220.24,3722.91334933,2019-12-30 00:00:00,7417.189878653349,7372.79,1,0.9793090539673583,0.9522835864773291,58.29702448227678,1,,0.987585432380415,1.8334737131456367,22.018532743933562,0.6,0.9793090539673583,1.6646849636687273,39.30415638187497,1,0.9958618107934717,1.0678426135638994,24.173183697002447,0.2,0.9917236215869434,1.4280622206043025,21.04961601913913,0.4,0.987585432380415,2.1370531775438115,21.9214707993262,0.6,0.9958618107934717,1.2772131974212901,12.771168494347366,0.2,0.9917236215869434,1.6837721334801983,15.38442013195568,0.4
2019-12-31,7222.74,7302.35,7112.55,7168.36,2638.69130899,2019-12-31 00:00:00,7112.991066859262,7222.74,0,1,0.9522835864773291,58.29702448227678,1,,1,1.8334737131456367,22.018532743933562,0.2,1,1.6646849636687273,39.30415638187497,1,1,1.0678426135638994,24.173183697002447,0.4,1,1.4280622206043025,21.04961601913913,0.3,1,2.1370531775438115,21.9214707993262,0.2,1,1.2772131974212901,12.771168494347366,0.4,1,1.6837721334801983,15.38442013195568,0.3
2020-01-01,7160.69,7237.35,7150.0,7178.68,1119.10969318,2020-01-01 00:00:00,7239.206068425197,7160.69,1,1.0025123277226078,0.9546760349314205,58.19225294076836,1,,1,1.8334737131456367,22.018532743933562,0.0,1.0025123277226078,1.6688671978523606,39.151668531306086,1,1.0005024655445216,1.0683791676841872,24.135083334459427,0.2,1.0002512327722608,1.428420996634946,21.02978109530056,0.1,1,2.1370531775438115,21.9214707993262,0.0,1.0005024655445216,1.2778549530460026,12.727339012026892,0.2,1.0002512327722608,1.684195152221148,15.363161925248978,0.1
2020-01-02,7174.7,7184.94,6900.0,6950.56,3972.70795427,2020-01-02 00:00:00,7056.479155287353,7174.7,0,1,0.9546760349314205,58.19225294076836,1,,1,1.8334737131456367,22.018532743933562,0.0,1,1.6688671978523606,39.151668531306086,1,1,1.0683791676841872,24.135083334459427,0.2,1,1.428420996634946,21.02978109530056,0.1,1,2.1370531775438115,21.9214707993262,0.0,1,1.2778549530460026,12.727339012026892,0.2,1,1.684195152221148,15.363161925248978,0.1
2020-01-03,6945.7,7402.31,6853.53,7338.91,8072.72908749,2020-01-03 00:00:00,7023.173071709039,6945.7,1,1.0566120045495775,1.0087221589643307,55.82543257404357,1,,1,1.8334737131456367,22.018532743933562,0.0,1.0566120045495775,1.763345115249819,35.70692251336619,1,1.022644801819831,1.0925724022048318,22.417137331490252,0.4,1.0113224009099155,1.4445941518269878,20.135648616917766,0.2,1,2.1370531775438115,21.9214707993262,0.0,1.022644801819831,1.306791725212219,10.751066899664933,0.4,1.0113224009099155,1.703264284945132,14.404869712819043,0.2
2020-01-04,7332.58,7396.1,7256.03,7344.48,3256.73735349,2020-01-04 00:00:00,7343.061088857783,7332.58,1,1.0016228939882006,1.0103592080918786,55.75374193413661,1,,1.0009737363929203,1.8352590332255894,21.942599351293005,0.6,1.0016228939882006,1.7662068374364808,35.60258166443022,1,1.0006491575952803,1.0932816538781167,22.3667738269254,0.4,1.0008114469941003,1.4457663634091826,20.070842929052198,0.5,1.0009737363929203,2.139134103996392,21.845442893937815,0.6,1.0006491575952803,1.3076400389860898,10.693130276872195,0.4,1.0008114469941003,1.7046463936293093,14.335413801637884,0.5
2020-01-05,7356.05,7495.0,7310.0,7356.7,2707.27385549,2020-01-05 00:00:00,7290.91591479442,7356.05,0,1,1.0103592080918786,55.75374193413661,1,,1,1.8352590332255894,21.942599351293005,0.6,1,1.7662068374364808,35.60258166443022,1,1,1.0932816538781167,22.3667738269254,0.4,1,1.4457663634091826,20.070842929052198,0.5,1,2.139134103996392,21.845442893937815,0.6,1,1.3076400389860898,10.693130276872195,0.4,1,1.7046463936293093,14.335413801637884,0.5
2020-01-06,7352.12,7817.0,7342.46,7762.74,6728.28277831,2020-01-06 00:00:00,7442.0907666700405,7352.12,1,1.0558505573902492,1.0667883330281809,53.28256375872533,1,,1.0446804459121994,1.9172592251945006,18.454959883561575,0.8,1.0558505573902492,1.8648504737737777,32.00594995589559,1,1.0223402229560996,1.1177058097795671,20.632430245417606,0.4,1.0335103344341496,1.4942144777606687,17.392390144565056,0.6,1.0446804459121994,2.234711569628944,18.3534624323685,0.8,1.0223402229560996,1.336853009003362,8.697994895746174,0.4,1.0335103344341496,1.7617696643717944,11.464764868967734,0.6
2020-01-07,7768.17,8220.0,7697.03,8159.01,12158.32281238,2020-01-07 00:00:00,7591.040085833371,7768.17,0,1,1.0667883330281809,53.28256375872533,1,,1,1.9172592251945006,18.454959883561575,0.8,1,1.8648504737737777,32.00594995589559,1,1,1.1177058097795671,20.632430245417606,0.4,1,1.4942144777606687,17.392390144565056,0.6,1,2.234711569628944,18.3534624323685,0.8,1,1.336853009003362,8.697994895746174,0.4,1,1.7617696643717944,11.464764868967734,0.6
2020-01-08,8151.79,8463.57,7872.09,8044.44,11913.23248192,2020-01-08 00:00:00,8117.635352130206,8151.79,0,1,1.0667883330281809,53.28256375872533,1,,1,1.9172592251945006,18.454959883561575,1.0,1,1.8648504737737777,32.00594995589559,1,1,1.1177058097795671,20.632430245417606,0.4,1,1.4942144777606687,17.392390144565056,0.7,1,2.234711569628944,18.3534624323685,1.0,1,1.336853009003362,8.697994895746174,0.4,1,1.7617696643717944,11.464764868967734,0.7
2020-01-09,8048.94,8048.94,7737.97,7806.78,5957.24423978,2020-01-09 00:00:00,7858.167626667431,8048.94,0,1,1.0667883330281809,53.28256375872533,1,,1,1.9172592251945006,18.454959883561575,1.0,1,1.8648504737737777,32.00594995589559,1,1,1.1177058097795671,20.632430245417606,0.4,1,1.4942144777606687,17.392390144565056,0.7,1,2.234711569628944,18.3534624323685,1.0,1,1.336853009003362,8.697994895746174,0.4,1,1.7617696643717944,11.464764868967734,0.7
2020-01-10,7812.7,8200.0,7667.0,8200.0,8999.98825687,2020-01-10 00:00:00,7782.644154189838,7812.7,0,1,1.0667883330281809,53.28256375872533,1,,1,1.9172592251945006,18.454959883561575,0.6,1,1.8648504737737777,32.00594995589559,1,1,1.1177058097795671,20.632430245417606,0.4,1,1.4942144777606687,17.392390144565056,0.5,1,2.234711569628944,18.3534624323685,0.6,1,1.336853009003362,8.697994895746174,0.4,1,1.7617696643717944,11.464764868967734,0.5
2020-01-11,8200.0,8286.0,8000.0,8016.22,3788.3273136,2020-01-11 00:00:00,8106.829583334667,8200.0,0,1,1.0667883330281809,53.28256375872533,1,,1,1.9172592251945006,18.454959883561575,1.0,1,1.8648504737737777,32.00594995589559,1,1,1.1177058097795671,20.632430245417606,0.4,1,1.4942144777606687,17.392390144565056,0.7,1,2.234711569628944,18.3534624323685,1.0,1,1.336853009003362,8.697994895746174,0.4,1,1.7617696643717944,11.464764868967734,0.7
2020-01-12,8008.1,8190.0,7960.0,8180.76,2056.08675369,2020-01-12 00:00:00,7977.621617773085,8008.1,0,1,1.0667883330281809,53.28256375872533,1,,1,1.9172592251945006,18.454959883561575,0.8,1,1.8648504737737777,32.00594995589559,1,1,1.1177058097795671,20.632430245417606,0.4,1,1.4942144777606687,17.392390144565056,0.6,1,2.234711569628944,18.3534624323685,0.8,1,1.336853009003362,8.697994895746174,0.4,1,1.7617696643717944,11.464764868967734,0.6
2020-01-13,8180.75,8196.81,8039.0,8105.01,4011.43909644,2020-01-13 00:00:00,8119.611882200364,8180.75,0,1,1.0667883330281809,53.28256375872533,1,,1,1.9172592251945006,18.454959883561575,1.0,1,1.8648504737737777,32.00594995589559,1,1,1.1177058097795671,20.632430245417606,0.4,1,1.4942144777606687,17.392390144565056,0.7,1,2.234711569628944,18.3534624323685,1.0,1,1.336853009003362,8.697994895746174,0.4,1,1.7617696643717944,11.464764868967734,0.7
2020-01-14,8105.01,8895.0,8105.01,8813.04,17009.43193382,2020-01-14 00:00:00,8038.04446278687,8105.01,0,1,1.0667883330281809,53.28256375872533,1,,1,1.9172592251945006,18.454959883561575,1.0,1,1.8648504737737777,32.00594995589559,1,1,1.1177058097795671,20.632430245417606,0.4,1,1.4942144777606687,17.392390144565056,0.7,1,2.234711569628944,18.3534624323685,1.0,1,1.336853009003362,8.697994895746174,0.4,1,1.7617696643717944,11.464764868967734,0.7
2020-01-15,8813.2,8903.2,8555.0,8809.17,8606.88339936,2020-01-15 00:00:00,8751.212999732783,8813.2,0,1,1.0667883330281809,53.28256375872533,1,,1,1.9172592251945006,18.454959883561575,1.0,1,1.8648504737737777,32.00594995589559,1,1,1.1177058097795671,20.632430245417606,0.6,1,1.4942144777606687,17.392390144565056,0.8,1,2.234711569628944,18.3534624323685,1.0,1,1.336853009003362,8.697994895746174,0.6,1,1.7617696643717944,11.464764868967734,0.8
2020-01-16,8810.62,8852.35,8573.91,8710.15,6713.2584764,2020-01-16 00:00:00,8811.481891175688,8810.62,1,0.9885967162356337,1.0546234429501453,53.81529594092827,1,,0.9885967162356337,1.8953961741997587,19.384841115585953,1.0,0.9885967162356337,1.8435850546432224,32.78130540283703,1,0.9954386864942535,1.1126076031739682,20.994450613257463,0.4,0.9920177013649436,1.4822872115743582,18.05178875595937,0.7,0.9885967162356337,2.2092285194689527,19.284501068630192,1.0,0.9954386864942535,1.330755203318197,9.11445196472994,0.4,0.9920177013649436,1.7477066927845957,12.171479555508569,0.7
2020-01-17,8715.39,9015.22,8661.52,8892.63,9363.15892644,2020-01-17 00:00:00,8880.128992224283,8715.39,1,1.0203364393331795,1.0760707286170499,52.87606350871011,1,,1.0203364393331795,1.9339417835087127,17.74541582759844,1.0,1.0203364393331795,1.8810770102625307,31.4143164981063,1,1.0081345757332718,1.121658193983401,20.351773988422256,0.4,1.0142355075332257,1.503388322341129,16.885214377460457,0.7,1.0203364393331795,2.254156361228263,17.643035221365082,1.0,1.0081345757332718,1.3415803323020346,8.375136591177117,0.4,1.0142355075332257,1.7725861845755997,10.921195991088947,0.7
2020-01-18,8898.03,9000.1,8798.9,8908.53,3678.00926615,2020-01-18 00:00:00,8901.900323591124,8898.03,1,1.001180036479985,1.077340531331862,52.82045554456989,1,,1.001180036479985,1.9362239053634203,17.648352417629006,1.0,1.001180036479985,1.8832967497563016,31.33338288956936,1,1.000472014591994,1.1221876330181908,20.31417886351835,0.4,1.0008260255359895,1.5046301594858913,16.816559442117946,0.7,1.001180036479985,2.2568163479661023,17.545850998545458,1.0,1.000472014591994,1.3422135777952133,8.331888318658692,0.4,1.0008260255359895,1.7740503860288015,10.847614624262174,0.7
2020-01-19,8901.02,9188.1,8461.38,8696.6,8785.449927,2020-01-19 00:00:00,8908.929998911071,8901.02,1,0.9770340927219577,1.0525984285824177,53.90397658795357,1,,0.9770340927219577,1.891756766683315,19.539632720199755,1.0,0.9770340927219577,1.84004513122436,32.910374051224345,1,0.9908136370887831,1.1118788101668062,21.046201735356387,0.4,0.9839238649053704,1.4804415217745421,18.153827670162542,0.7,0.9770340927219577,2.2049865129751427,19.43948533920275,1.0,0.9908136370887831,1.3298835167652236,9.173984859949453,0.4,0.9839238649053704,1.7455305123583227,12.280840415571017,0.7
2020-01-20,8698.97,8740.54,8507.93,8625.17,4420.19825219,2020-01-20 00:00:00,8629.679479790833,8698.97,0,1,1.0525984285824177,53.90397658795357,1,,1,1.891756766683315,19.539632720199755,0.8,1,1.84004513122436,32.910374051224345,1,1,1.1118788101668062,21.046201735356387,0.4,1,1.4804415217745421,18.153827670162542,0.6,1,2.2049865129751427,19.43948533920275,0.8,1,1.3298835167652236,9.173984859949453,0.4,1,1.7455305123583227,12.280840415571017,0.6
2020-01-21,8629.66,8778.66,8480.0,8717.89,3394.68916005,2020-01-21 00:00:00,8696.288713893675,8629.66,1,1.0102240412716144,1.0633602383586807,53.43268894213151,1,,1.0081792330172914,1.9072298860900556,18.88152862756142,0.8,1.0102240412716144,1.858857828587631,32.22444694662689,1,1.0040896165086457,1.1164259681044777,20.723310978553023,0.4,1.0061344247629687,1.489523178905843,17.651748483868186,0.6,1.0081792330172914,2.2230216114647514,18.780562117799164,0.8,1.0040896165086457,1.3353222303499626,8.802541289018196,0.4,1.0061344247629687,1.756238337957851,11.742733830829492,0.6
2020-01-22,8728.47,8792.98,8567.68,8655.93,3143.81212331,2020-01-22 00:00:00,8785.71886716736,8728.47,1,0.9916892651289402,1.0545229333452546,53.819697517991635,1,,0.9933514121031521,1.8945495005528907,19.420851914539014,0.8,0.9916892651289402,1.843409354011245,32.787711598792924,1,0.9966757060515761,1.1127146400148447,20.986849996118103,0.4,0.9950135590773641,1.4820957595713322,18.062373175135736,0.6,0.9933514121031521,2.2082416568843355,19.320556689491557,0.8,0.9966757060515761,1.3308832267404143,9.105708449122751,0.4,0.9950135590773641,1.747480959239556,12.182823474575413,0.6
2020-01-23,8661.63,8665.95,8280.0,8378.44,8611.0107876,2020-01-23 00:00:00,8613.87856729284,8661.63,0,1,1.0545229333452546,53.819697517991635,1,,1,1.8945495005528907,19.420851914539014,0.6,1,1.843409354011245,32.787711598792924,1,1,1.1127146400148447,20.986849996118103,0.4,1,1.4820957595713322,18.062373175135736,0.5,1,2.2082416568843355,19.320556689491557,0.6,1,1.3308832267404143,9.105708449122751,0.4,1,1.747480959239556,12.182823474575413,0.5
2020-01-24,8382.08,8530.7,8212.9,8422.13,6430.43023326,2020-01-24 00:00:00,8446.718082115789,8382.08,1,1.0047780503168664,1.0595614969810678,53.59904570908449,1,,1.0028668301901198,1.8999808522577522,19.189845180113483,0.6,1.0047780503168664,1.852217256659293,32.46656790290022,1,1.0019112201267466,1.1148412826301666,20.83583847355304,0.4,1.002389025158433,1.4856365236281552,17.866622123228826,0.5,1.0028668301901198,2.2145723107333715,19.089262425686936,0.6,1.0019112201267466,1.33342683754971,8.93198944970434,0.4,1.002389025158433,1.7516557352150621,11.973026030513608,0.5
2020-01-25,8435.83,8437.47,8252.72,8329.5,2812.78995216,2020-01-25 00:00:00,8382.989803428576,8435.83,0,1,1.0595614969810678,53.59904570908449,1,,1,1.8999808522577522,19.189845180113483,0.6,1,1.852217256659293,32.46656790290022,1,1,1.1148412826301666,20.83583847355304,0.4,1,1.4856365236281552,17.866622123228826,0.5,1,2.2145723107333715,19.089262425686936,0.6,1,1.33342683754971,8.93198944970434,0.4,1,1.7516557352150621,11.973026030513608,0.5
2020-01-26,8320.0,8600.0,8276.22,8590.48,6340.58577579,2020-01-26 00:00:00,8325.40164012157,8320.0,1,1.0325096153846154,1.0940074337242696,52.09056853160771,1,,1.0130038461538462,1.9246879109557655,18.139002359167186,0.4,1.0325096153846154,1.912432127282034,30.27108199982047,1,1.0130038461538462,1.1293385071554458,19.806399896164894,0.4,1.0130038461538462,1.5049555124219507,16.798572313223577,0.4,1.0130038461538462,2.243370268358716,18.037111642076354,0.4,1.0130038461538462,1.350766515002616,7.747755050971458,0.4,1.0130038461538462,1.7744339969103011,10.828336803625785,0.4
2020-01-27,8600.0,9004.35,8546.55,8894.54,9619.7747426,2020-01-27 00:00:00,8614.440799784425,8600.0,1,1.0342488372093024,1.1314759162276586,50.44972621245651,1,,1.027399069767442,1.9774225693085947,15.896087173573603,0.8,1.0342488372093024,1.9779307038831562,27.882947638451526,1,1.013699534883721,1.1448099194297512,18.70778487409124,0.4,1.0205493023255814,1.5358812982332597,15.088841021768005,0.6,1.027399069767442,2.304836526855681,15.791404745616546,0.8,1.013699534883721,1.3692713879946565,6.483942203190674,0.4,1.0205493023255814,1.8108973775696007,8.99592133772857,0.6
2020-01-28,8894.57,9413.24,8876.0,9400.0,9565.55935515,2020-01-28 00:00:00,8851.925668939744,8894.57,0,1,1.1314759162276586,50.44972621245651,1,,1,1.9774225693085947,15.896087173573603,1.0,1,1.9779307038831562,27.882947638451526,1,1,1.1448099194297512,18.70778487409124,0.4,1,1.5358812982332597,15.088841021768005,0.7,1,2.304836526855681,15.791404745616546,1.0,1,1.3692713879946565,6.483942203190674,0.4,1,1.8108973775696007,8.99592133772857,0.7
2020-01-29,9386.57,9443.96,9215.5,9289.18,6481.91594603,2020-01-29 00:00:00,9319.662547396554,9386.57,0,1,1.1314759162276586,50.44972621245651,1,,1,1.9774225693085947,15.896087173573603,1.0,1,1.9779307038831562,27.882947638451526,1,1,1.1448099194297512,18.70778487409124,0.4,1,1.5358812982332597,15.088841021768005,0.7,1,2.304836526855681,15.791404745616546,1.0,1,1.3692713879946565,6.483942203190674,0.4,1,1.8108973775696007,8.99592133772857,0.7
2020-01-30,9280.83,9570.0,9166.07,9500.0,7945.15877894,2020-01-30 00:00:00,9174.338681667696,9280.83,0,1,1.1314759162276586,50.44972621245651,1,,1,1.9774225693085947,15.896087173573603,1.0,1,1.9779307038831562,27.882947638451526,1,1,1.1448099194297512,18.70778487409124,0.4,1,1.5358812982332597,15.088841021768005,0.7,1,2.304836526855681,15.791404745616546,1.0,1,1.3692713879946565,6.483942203190674,0.4,1,1.8108973775696007,8.99592133772857,0.7
