,Open,Close,Volume,ADX_14,DMP_14,DMN_14,MACD_14_24_9,MACDh_14_24_9,MACDs_14_24_9,RSI_14,target,prediction_close,batch_open,trade,return_of_rate,cumulative_return_of_rate,mdd,Datetime,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2019-07-08,11478.43,12286.14,11901.90089462,30.523122437657314,29.233239094701045,15.333123935658321,490.73378267460794,-35.14916873879588,525.8829514134038,62.40868114846738,12567.23,11378.699349462579,11478.43,0,1,1.906496978957442,12.682351243209911,2019-07-08,profit1,1,1.559440244967003,11.781509716527184,1.0,1,1.848964012394137,12.682351243209904,1,1,1.17021949142379,7.2946764548428185,0.6,1,1.3621242981195962,8.642675473124456,0.8,1,1.655664897214937,11.781509716527186,1.0,1,1.163091396732198,7.2946764548428185,0.6,1,1.3981553861533933,8.642675473124442,0.8
2019-07-09,12299.94,12567.23,15115.5523839,30.968016426558062,31.016427887842905,14.34526324425481,522.3848137852274,-2.7985101025411723,525.1833238877686,63.903210272256565,12098.95,12146.686566958417,12299.94,0,1,1.906496978957442,12.682351243209911,2019-07-09,profit1,1,1.559440244967003,11.781509716527184,1.0,1,1.848964012394137,12.682351243209904,1,1,1.17021949142379,7.2946764548428185,0.6,1,1.3621242981195962,8.642675473124456,0.8,1,1.655664897214937,11.781509716527186,1.0,1,1.163091396732198,7.2946764548428185,0.6,1,1.3981553861533933,8.642675473124442,0.8
2019-07-10,12574.88,12098.95,19838.38994897,30.60643159458418,27.34647453295215,16.093094227552893,517.0741979103859,-6.487300781906129,523.561498692292,59.64857999299604,11349.24,12513.233901891701,12574.88,0,1,1.906496978957442,12.682351243209911,2019-07-10,profit1,1,1.559440244967003,11.781509716527184,1.0,1,1.848964012394137,12.682351243209904,1,1,1.17021949142379,7.2946764548428185,0.6,1,1.3621242981195962,8.642675473124456,0.8,1,1.655664897214937,11.781509716527186,1.0,1,1.163091396732198,7.2946764548428185,0.6,1,1.3981553861533933,8.642675473124442,0.8
2019-07-11,12101.44,11349.24,18468.68600043,29.425845311832543,25.13701277734154,18.932770177089896,467.33987540846647,-44.97729862706046,512.3171740355269,53.506466976071714,11808.91,12126.251761194497,12101.44,1,0.9378421080466456,1.7879931457300087,18.109832220255424,2019-07-11,profit1,0.9378421080466456,1.4625087267126315,17.264985103855334,1.0,0.9378421080466456,1.7340363070861016,18.10983222025542,1,0.9627052648279874,1.1265764653980124,10.75209694549521,0.6,0.9502736864373165,1.294390878159951,13.185538438795714,0.8,0.9378421080466456,1.5527522574228894,17.264985103855334,1.0,0.9627052648279874,1.1197142111102245,10.7520969454952,0.6,0.9502736864373165,1.3286302730121748,13.18553843879569,0.8
2019-07-12,11352.74,11808.91,9176.67942993,28.32958662070602,23.588234068487182,17.76625641470915,447.215816929247,-52.081085685023936,499.29690261427095,56.46638680884294,11378.79,11377.872713377488,11352.74,1,1.0401814892263894,1.8598373730520172,14.819363325866389,2019-07-12,profit1,1.0160725956905559,1.4860150381709933,15.935218659977481,0.4,1.0401814892263894,1.80371246827745,14.819363325866389,1,1.0241088935358336,1.1537369774622688,8.600428752457754,0.6,1.0200907446131948,1.3203961547227114,11.441371262837539,0.5,1.0160725956905559,1.5777090166640453,15.93521865997749,0.4,1.0241088935358336,1.1467092818164408,8.600428752457745,0.6,1.0200907446131948,1.3553234445126217,11.441371262837524,0.5
2019-07-13,11811.08,11378.79,9391.35341435,26.915508179702098,21.839249200789258,18.40538079592234,403.46019892123695,-76.66936295442724,480.1295618756642,53.062292611393396,10191.87,11706.036675813712,11811.08,0,1,1.8598373730520172,14.819363325866389,2019-07-13,profit1,1,1.4860150381709933,15.935218659977481,0.8,1,1.80371246827745,14.819363325866389,1,1,1.1537369774622688,8.600428752457754,0.6,1,1.3203961547227114,11.441371262837539,0.7,1,1.5777090166640453,15.93521865997749,0.8,1,1.1467092818164408,8.600428752457745,0.6,1,1.3553234445126217,11.441371262837524,0.7
2019-07-14,11382.03,10191.87,12170.40823763,25.322466052108997,19.744488806030557,21.65417540189951,300.96641070769147,-143.33052093437823,444.2969316420697,45.000283031051985,10850.0,11388.069437220827,11382.03,1,0.8954351728118798,1.6653637995408257,23.72626187947122,2019-07-14,profit1,0.9581740691247519,1.4238610759048742,19.451306393348112,0.4,0.8954351728118798,1.6151075857349606,23.726261879471224,1,0.9372611036871279,1.081352792860937,14.334736975998277,0.6,0.94771758640594,1.2513626568534921,16.071430117796677,0.5,0.9581740691247519,1.5117198683917992,19.451306393348123,0.4,0.9372611036871279,1.0747660070835512,14.334736975998258,0.6,0.94771758640594,1.2844638636328867,16.071430117796666,0.5
2019-07-15,10191.87,10850.0,16048.02718406,24.12143330368985,18.082673795157568,21.445755558549457,251.13465519120655,-154.52982116069057,405.6644763518971,49.57513424109993,9412.81,10255.873684811795,10191.87,1,1.064574018310673,1.772903032026307,18.80096011745271,2019-07-15,profit1,1.0258296073242692,1.4606388483798085,17.37076526700542,0.4,1.064574018310673,1.719401572549917,18.800960117452714,1,1.038744410986404,1.123249169888837,11.015686818137956,0.6,1.0322870091553367,1.2917654144119672,13.361627613615667,0.5,1.0258296073242692,1.5507669989766553,17.37076526700543,0.4,1.038744410986404,1.1164071829762126,11.015686818137949,0.6,1.0322870091553367,1.3259353601577009,13.361627613615648,0.5
2019-07-16,10848.27,9412.81,20761.02748001,23.554064405336174,16.08805346495614,22.29830105332157,132.07323247069144,-218.87299510496462,350.94622757565605,41.46410453324516,9699.35,10667.445011991413,10848.27,0,1,1.772903032026307,18.80096011745271,2019-07-16,,1,1.4606388483798085,17.37076526700542,0.4,1,1.719401572549917,18.800960117452714,1,1,1.123249169888837,11.015686818137956,0.6,1,1.2917654144119672,13.361627613615667,0.5,1,1.5507669989766553,17.37076526700543,0.4,1,1.1164071829762126,11.015686818137949,0.6,1,1.3259353601577009,13.361627613615648,0.5
2019-07-17,9427.45,9699.35,16992.78525932,23.357735161016045,15.079736651809407,23.003029399628765,51.01494360851211,-239.94502717371518,290.9599707822273,43.45063654166777,10648.6,9529.372837789751,9427.45,1,1.02884130915571,1.8240358764760736,16.459073505053333,2019-07-17,,1.005768261831142,1.469064195698001,16.894138206158612,0.2,1.02884130915571,1.768991364866643,16.45907350505334,1,1.017304785493426,1.1426867558294322,9.475832366245982,0.6,1.011536523662284,1.306667896681451,12.36212198051838,0.4,1.005768261831142,1.5597122290658472,16.894138206158612,0.2,1.017304785493426,1.1357263698009359,9.475832366245987,0.6,1.011536523662284,1.3412320448148192,12.362121980518356,0.4
